"date","true","false","pct_ret"
"2019-1-1",1,11,8.33333333333333
"2019-1-2",1,11,8.33333333333333
"2019-1-3",1,11,8.33333333333333
"2019-1-4",1,11,8.33333333333333
"2019-1-5",2,10,16.6666666666667
"2019-1-6",2,10,16.6666666666667
"2019-1-7",2,10,16.6666666666667
"2019-1-8",2,10,16.6666666666667
"2019-1-9",1,11,8.33333333333333
"2019-1-10",1,11,8.33333333333333
"2019-1-11",1,11,8.33333333333333
"2019-1-12",1,11,8.33333333333333
"2019-1-13",1,11,8.33333333333333
"2019-1-14",1,11,8.33333333333333
"2019-1-15",1,11,8.33333333333333
"2019-1-16",1,11,8.33333333333333
"2019-1-17",1,11,8.33333333333333
"2019-1-18",1,11,8.33333333333333
"2019-1-19",1,11,8.33333333333333
"2019-1-20",1,11,8.33333333333333
"2019-1-21",2,10,16.6666666666667
"2019-1-22",2,10,16.6666666666667
"2019-1-23",2,10,16.6666666666667
"2019-1-24",2,10,16.6666666666667
"2019-1-25",2,10,16.6666666666667
"2019-1-26",2,10,16.6666666666667
"2019-1-27",1,11,8.33333333333333
"2019-1-28",1,11,8.33333333333333
"2019-1-29",1,11,8.33333333333333
"2019-1-30",2,10,16.6666666666667
"2019-1-31",2,10,16.6666666666667
"2019-2-1",2,10,16.6666666666667
"2019-2-2",2,10,16.6666666666667
"2019-2-3",2,10,16.6666666666667
"2019-2-4",2,10,16.6666666666667
"2019-2-5",2,10,16.6666666666667
"2019-2-6",3,9,25
"2019-2-7",3,9,25
"2019-2-8",3,9,25
"2019-2-9",3,9,25
"2019-2-10",3,9,25
"2019-2-11",3,9,25
"2019-2-12",2,10,16.6666666666667
"2019-2-13",2,10,16.6666666666667
"2019-2-14",2,10,16.6666666666667
"2019-2-15",2,10,16.6666666666667
"2019-2-16",3,9,25
"2019-2-17",3,9,25
"2019-2-18",3,9,25
"2019-2-19",3,9,25
"2019-2-20",3,9,25
"2019-2-21",2,10,16.6666666666667
"2019-2-22",2,10,16.6666666666667
"2019-2-23",3,9,25
"2019-2-24",3,9,25
"2019-2-25",3,9,25
"2019-2-26",3,9,25
"2019-2-27",3,9,25
"2019-2-28",3,9,25
"2019-3-1",2,10,16.6666666666667
"2019-3-2",2,10,16.6666666666667
"2019-3-3",2,10,16.6666666666667
"2019-3-4",2,10,16.6666666666667
"2019-3-5",3,9,25
"2019-3-6",3,9,25
"2019-3-7",3,9,25
"2019-3-8",3,9,25
"2019-3-9",3,9,25
"2019-3-10",2,10,16.6666666666667
"2019-3-11",3,9,25
"2019-3-12",3,9,25
"2019-3-13",3,9,25
"2019-3-14",3,9,25
"2019-3-15",3,9,25
"2019-3-16",3,9,25
"2019-3-17",3,9,25
"2019-3-18",2,10,16.6666666666667
"2019-3-19",2,10,16.6666666666667
"2019-3-20",2,10,16.6666666666667
"2019-3-21",2,10,16.6666666666667
"2019-3-22",3,9,25
"2019-3-23",3,9,25
"2019-3-24",3,9,25
"2019-3-25",3,9,25
"2019-3-26",3,9,25
"2019-3-27",3,9,25
